,house_type,price,address,square,object_type,latitude,longitude,year_of_construction,building_type,rooms,sauna
27,"Kerrostalo, 2019",1400,"Kaarlo Sarkian katu 10 A 6, Leppävaara, Espoo",39.5,Kalustettu koti / furnished home: 2h + avok + p,60.2150821,24.8341062,2019.0,Kerrostalo,2,True
28,"Kerrostalo, 1959",960,"Pohjantie 2, Tapiola, Espoo",42.0,2h+kk+kph+p,60.1750614,24.79816619877076,1959.0,Kerrostalo,2,False
29,"Kerrostalo, 2018",799,"Reelinkikatu 2, Saunalahti, Espoo",43.0,1H+KT,60.1682105,24.6193641,2018.0,Kerrostalo,1,False
30,Kerrostalo,2292,"Lavaniityntie 2, Perusmäki, Espoo",67.0,4h+ak+kph+s+wc+p,60.285831,24.7251659,,Kerrostalo,4,True
31,"Kerrostalo, 2018",820,"Marinkallio 8, Kivenlahti, Espoo",39.5,1H+KT,60.15838055,24.622228287533325,2018.0,Kerrostalo,1,False
32,"Kerrostalo, 2021",780,"Runoratsunkatu 11, Vermonniitty, Espoo",33.5,1H+KT,60.2149683,24.82953268872581,2021.0,Kerrostalo,1,False
33,Kerrostalo,1600,"Hakarinne 2, Tapiola, Espoo",62.0,2h + avok + p,60.17311545,24.79717371585972,,Kerrostalo,2,False
35,"Kerrostalo, 2011",830,"Piilipuuntie 21 E, Suurpelto, Espoo",45.5,2h+kk+s,60.1858108,24.7397412,2011.0,Kerrostalo,2,True
36,"Kerrostalo, 2012",785,"Piilipuuntie 31, Suurpelto, Espoo",39.0,1H+KT,60.189452,24.7381062,2012.0,Kerrostalo,1,False
37,"Kerrostalo, 2003",918,"Aurorankuja 3, Järvenperä, Espoo",51.0,2H+KK+S,60.23762145,24.70271030146685,2003.0,Kerrostalo,2,False
38,"Kerrostalo, 2019",810,"Ajurinkuja 1, Leppävaara, Espoo",36.0,1H+KT,60.2267315,24.8129451,2019.0,Kerrostalo,1,False
39,"Kerrostalo, 2016",595,"Lasiportti 2, Kauklahti, Espoo",28.0,1h+kt,60.1837478,24.5804782,2016.0,Kerrostalo,1,False
40,"Kerrostalo, 2012",868,"Piilipuuntie 31, Suurpelto, Espoo",45.5,2H+KK,60.189452,24.7381062,2012.0,Kerrostalo,2,False
41,"Kerrostalo, 2012",858,"Piilipuuntie 25, Suurpelto, Espoo",44.0,2H+KK,60.1886844,24.738878867013028,2012.0,Kerrostalo,2,False
42,"Kerrostalo, 2016",595,"Lasiportti 2, Kauklahti, Espoo",28.0,1h+kt,60.1837478,24.5804782,2016.0,Kerrostalo,1,False
43,"Kerrostalo, 2000",855,"Ullantorpantie 3, Ymmersta, Espoo",49.5,2H+KT+S,60.20507475,24.70335522208737,2000.0,Kerrostalo,2,False
44,"Kerrostalo, 1971",899,"Kalasääksentie 6, Karakallio, Espoo",56.0,2H+K,60.2307683,24.77437544472881,1971.0,Kerrostalo,2,False
45,"Kerrostalo, 2018",770,"Marinkallio 6, Kivenlahti, Espoo",34.5,1H+KT,60.1583747,24.62116021839193,2018.0,Kerrostalo,1,False
46,"Kerrostalo, 2012",860,"Lotankatu 1, Painiitty, Espoo",51.5,2h+kt,60.235279,24.8319962,2012.0,Kerrostalo,2,False
47,"Kerrostalo, 2021",855,"Anna Sahlsténin katu 8, Vermonniitty, Espoo",34.5,2H+KT,60.2134498,24.827665990273864,2021.0,Kerrostalo,2,False
48,"Kerrostalo, 2012",868,"Piilipuuntie 31, Suurpelto, Espoo",45.5,2H+KT,60.189452,24.7381062,2012.0,Kerrostalo,2,False
49,"Kerrostalo, 2012",895,"Piilipuuntie 25, Suurpelto, Espoo",50.5,2H+KK,60.1886844,24.738878867013028,2012.0,Kerrostalo,2,False
50,"Kerrostalo, 2012",868,"Piilipuuntie 31, Suurpelto, Espoo",45.5,2H+KK,60.189452,24.7381062,2012.0,Kerrostalo,2,False
51,"Kerrostalo, 1971",899,"Kalasääksentie 6, Karakallio, Espoo",56.0,2H+K,60.2307683,24.77437544472881,1971.0,Kerrostalo,2,False
52,"Kerrostalo, 2019",893,"Koivu-Mankkaan tie 1, Tapiola, Espoo",33.5,1H+KT,60.1747538,24.7808189,2019.0,Kerrostalo,1,False
53,"Kerrostalo, 2020",861,"Kaarlo Sarkian katu 10 C, Vermonniitty, Espoo",40.5,2h+kt,60.2150821,24.8341062,2020.0,Kerrostalo,2,False
54,"Kerrostalo, 2020",867,"Kaarlo Sarkian katu 10 C, Vermonniitty, Espoo",40.5,2h+kt,60.2150821,24.8341062,2020.0,Kerrostalo,2,False
55,"Kerrostalo, 2020",775,"Kaarlo Sarkian katu 10 C, Vermonniitty, Espoo",31.5,1h+kt+alk,60.2150821,24.8341062,2020.0,Kerrostalo,1,False
56,"Kerrostalo, 2020",864,"Kaarlo Sarkian katu 10 D, Vermonniitty, Espoo",40.5,2h+kt,60.2150821,24.8341062,2020.0,Kerrostalo,2,False
57,"Kerrostalo, 2021",795,"Marinportti 4 A, Kivenlahti, Espoo",36.5,1h+kt+alkovi,60.1568905,24.6258447,2021.0,Kerrostalo,1,False
58,"Kerrostalo, 2021",935,"Marinportti 4 A, Kivenlahti, Espoo",44.0,2h+kt,60.1568905,24.6258447,2021.0,Kerrostalo,2,False
59,"Kerrostalo, 2021",1149,"Marinportti 4 A, Kivenlahti, Espoo",51.0,2h+kt,60.1568905,24.6258447,2021.0,Kerrostalo,2,False
60,"Kerrostalo, 2021",755,"Marinportti 4 A, Kivenlahti, Espoo",33.5,1h+kt+alkovi,60.1568905,24.6258447,2021.0,Kerrostalo,1,False
61,"Kerrostalo, 2021",760,"Marinportti 4 A, Kivenlahti, Espoo",33.5,1h+kt+alkovi,60.1568905,24.6258447,2021.0,Kerrostalo,1,False
62,"Kerrostalo, 2021",945,"Marinportti 4 A, Kivenlahti, Espoo",44.0,2h+kt,60.1568905,24.6258447,2021.0,Kerrostalo,2,False
63,"Kerrostalo, 2021",780,"Marinportti 4 A, Kivenlahti, Espoo",33.5,1h+kt+alkovi,60.1568905,24.6258447,2021.0,Kerrostalo,1,False
64,"Kerrostalo, 2021",1040,"Marinportti 4 A, Kivenlahti, Espoo",47.0,2h+kt,60.1568905,24.6258447,2021.0,Kerrostalo,2,False
65,"Kerrostalo, 1994",872,"Sinettikuja 3, Espoon keskus, Espoo",58.0,2H+K,60.20229985,24.65782686586373,1994.0,Kerrostalo,2,False
66,"Kerrostalo, 2012",887,"Piilipuuntie 25, Suurpelto, Espoo",48.5,2H+KK,60.1886844,24.738878867013028,2012.0,Kerrostalo,2,False
67,"Kerrostalo, 2019",810,"Ajurinkuja 1, Leppävaara, Espoo",36.0,1H+KT,60.2267315,24.8129451,2019.0,Kerrostalo,1,False
68,"Kerrostalo, 2013",827,"Rastasniityntie 1, Laaksolahti, Espoo",37.0,2H+KK,60.23275795000001,24.75245941649189,2013.0,Kerrostalo,2,False
69,Kerrostalo,730,"Sammalkallionkuja 2 D, Olari, Espoo",31.5,1h + k + p,60.175669600000006,24.73263809080821,,Kerrostalo,1,False
70,"Kerrostalo, 2021",1410,"Marinportti 4 A, Kivenlahti, Espoo",68.0,3h+kt,60.1568905,24.6258447,2021.0,Kerrostalo,3,False
71,Kerrostalo,2000,"Tyrskyvuori 15, Espoonlahti, Espoo",106.5,4h + avok + s + p,60.15072295,24.63682622024683,,Kerrostalo,4,True
73,"Kerrostalo, 2021",810,"Marinportti 4 A, Kivenlahti, Espoo",33.5,1h+kt+alkovi,60.1568905,24.6258447,2021.0,Kerrostalo,1,False
74,"Kerrostalo, 2021",940,"Marinportti 4 A, Kivenlahti, Espoo",44.0,2h+kt,60.1568905,24.6258447,2021.0,Kerrostalo,2,False
75,"Kerrostalo, 2014",2111,"Nikkarinkuja 5, Leppävaara, Espoo",40.0,2h+ak+kph+p,60.22259875,24.816280260905344,2014.0,Kerrostalo,2,False
76,"Kerrostalo, 2011",829,"Valakuja 8, Espoon keskus, Espoo",40.5,2H+KK,60.20254625,24.658588616316177,2011.0,Kerrostalo,2,False
77,"Kerrostalo, 2012",860,"Piilipuuntie 25, Suurpelto, Espoo",43.5,2H+KT,60.1886844,24.738878867013028,2012.0,Kerrostalo,2,False
78,"Kerrostalo, 1974",849,"Joupinmäenrinne 6, Suvela, Espoo",59.5,2H+K,60.20343895,24.67494404576739,1974.0,Kerrostalo,2,False
79,"Kerrostalo, 1986",850,"Saarnimäenkuja 4, Saarniraivio, Espoo",59.5,2H+K,60.19752505,24.66633943965521,1986.0,Kerrostalo,2,False
80,"Kerrostalo, 1986",850,"Saarnimäenkuja 4, Saarniraivio, Espoo",59.5,2H+K,60.19752505,24.66633943965521,1986.0,Kerrostalo,2,False
81,"Kerrostalo, 2011",829,"Valakuja 8, Espoon keskus, Espoo",40.5,2H+KK,60.20254625,24.658588616316177,2011.0,Kerrostalo,2,False
82,"Kerrostalo, 2018",878,"Saunalahdenkatu 2, Saunalahti, Espoo",45.5,2H+KT,60.1652306,24.6143043,2018.0,Kerrostalo,2,False
83,"Kerrostalo, 1973",840,"Kivenlahdenkatu 4, Kivenlahti, Espoo",62.0,2H+K,60.1549412,24.632042182403207,1973.0,Kerrostalo,2,False
84,"Kerrostalo, 2019",810,"Ajurinkuja 1, Leppävaara, Espoo",36.0,1H+KT,60.2267315,24.8129451,2019.0,Kerrostalo,1,False
85,"Kerrostalo, 2020",878,"Kaarlo Sarkian katu 10 C, Vermonniitty, Espoo",40.5,2h+kt,60.2150821,24.8341062,2020.0,Kerrostalo,2,False
86,"Kerrostalo, 2014",1158,"Revontulentie 11 F, Tapiola, Espoo",50.0,2h+kt+parveke,60.1729122,24.8105702,2014.0,Kerrostalo,2,False
87,"Kerrostalo, 2003",795,"Rauhalanpuisto 4, Matinkylä, Espoo",30.5,1H+KT,60.16416340000001,24.745037183629204,2003.0,Kerrostalo,1,False
88,"Kerrostalo, 1977",868,"Kirstintie 17, Suvela, Espoo",59.5,2H+K,60.2041686,24.67313714271404,1977.0,Kerrostalo,2,False
89,Kerrostalo,805,"Peijinkuja 3 A 2, Finnoo, Espoo",37.5,1h + avok + p,60.1536125,24.705035,,Kerrostalo,1,False
90,Kerrostalo,1400,"Tyrskyvuori 4, Kivenlahti, Espoo",66.0,2h + avok,60.14827355,24.637215519648,,Kerrostalo,2,False
91,Kerrostalo,1500,"Tyrskyvuori 4, Kivenlahti, Espoo",66.0,2h + avok,60.14827355,24.637215519648,,Kerrostalo,2,False
92,"Kerrostalo, 2018",768,"Marinkallio 6, Kivenlahti, Espoo",34.0,1H+KT,60.1583747,24.62116021839193,2018.0,Kerrostalo,1,False
93,"Kerrostalo, 2001",922,"Leirikaari 24, Leppävaara, Espoo",48.0,2H+K,60.21067025,24.80765360347928,2001.0,Kerrostalo,2,False
95,"Kerrostalo, 1976",890,"Kirstintie 30, Suvela, Espoo",65.5,2H+K,60.2054793,24.672989876694857,1976.0,Kerrostalo,2,False
96,"Kerrostalo, 1980",819,"Joupinrinne 4, Suvela, Espoo",50.0,2H+KK,60.20265875,24.67853516556904,1980.0,Kerrostalo,2,False
97,"Kerrostalo, 1973",840,"Kivenlahdenkatu 6, Kivenlahti, Espoo",62.0,2H+K,60.1545995,24.632103038591453,1973.0,Kerrostalo,2,False
98,"Kerrostalo, 1976",880,"Kirstintie 30, Suvela, Espoo",63.0,2H+K,60.2054793,24.672989876694857,1976.0,Kerrostalo,2,False
99,"Kerrostalo, 1991",935,"Asemakuja 3, Espoon keskus, Espoo",59.0,2H+K,60.2051065,24.6604885,1991.0,Kerrostalo,2,False
100,"Kerrostalo, 2011",865,"Asemakuja 1, Espoon keskus, Espoo",46.0,2H+KK,60.20443285,24.65972513135152,2011.0,Kerrostalo,2,False
101,"Kerrostalo, 2020",770,"Kaarlo Sarkian katu 10 D, Vermonniitty, Espoo",31.5,1h+kt+alk,60.2150821,24.8341062,2020.0,Kerrostalo,1,False
102,"Kerrostalo, 2018",858,"Reelinkikatu 2, Saunalahti, Espoo",43.0,2H+KT,60.1682105,24.6193641,2018.0,Kerrostalo,2,False
103,"Kerrostalo, 1986",845,"Saarnimäenkuja 4, Saarniraivio, Espoo",58.5,2H+K,60.19752505,24.66633943965521,1986.0,Kerrostalo,2,False
104,"Kerrostalo, 1976",887,"Kirstintie 30, Suvela, Espoo",56.5,2H+K,60.2054793,24.672989876694857,1976.0,Kerrostalo,2,False
105,"Kerrostalo, 2013",827,"Rastasniityntie 1, Laaksolahti, Espoo",37.0,2H+KK,60.23275795000001,24.75245941649189,2013.0,Kerrostalo,2,False
106,"Kerrostalo, 2015",1258,"Porarinkatu 1, Leppävaara, Espoo",20.0,1h+k+kph+yhteistilat,60.2251893,24.8213541,2015.0,Kerrostalo,1,True
107,"Kerrostalo, 2021",750,"Marinportti 4 A, Kivenlahti, Espoo",33.5,1h+kt+alkovi,60.1568905,24.6258447,2021.0,Kerrostalo,1,False
108,"Kerrostalo, 2003",898,"Rauhalanpuisto 4, Matinkylä, Espoo",42.0,2H+KT,60.16416340000001,24.745037183629204,2003.0,Kerrostalo,2,False
109,"Kerrostalo, 2014",1975,"Nikkarinkuja 5, Leppävaara, Espoo",32.0,1h+ak+kph+wc,60.22259875,24.816280260905344,2014.0,Kerrostalo,1,False
110,Kerrostalo,1700,"Soukankuja 16, Soukka, Espoo",96.0,3h + k + p,60.1371772,24.669205,,Kerrostalo,3,False
111,"Kerrostalo, 2018",858,"Reelinkikatu 2, Saunalahti, Espoo",43.0,2H+KT,60.1682105,24.6193641,2018.0,Kerrostalo,2,False
112,"Kerrostalo, 2012",860,"Piilipuuntie 25, Suurpelto, Espoo",43.5,2H+KT,60.1886844,24.738878867013028,2012.0,Kerrostalo,2,False
113,Kerrostalo,550,"Merivalkama 3-5, Espoonlahti, Espoo",31.0,1h + kk + tilava kph,60.1538034,24.63221009558329,,Kerrostalo,1,False
114,"Kerrostalo, 1974",849,"Joupinmäenrinne 6, Suvela, Espoo",59.5,2H+K,60.20343895,24.67494404576739,1974.0,Kerrostalo,2,False
115,"Kerrostalo, 1974",849,"Joupinmäenrinne 6, Suvela, Espoo",59.5,2H+K,60.20343895,24.67494404576739,1974.0,Kerrostalo,2,False
116,Kerrostalo,1288,"Täysikuu 3, Olari, Espoo",30.0,1h+kk+kph+wc+p,60.174864,24.72615465,,Kerrostalo,1,False
117,"Kerrostalo, 2018",820,"Marinkallio 8, Kivenlahti, Espoo",39.5,1H+KT,60.15838055,24.622228287533325,2018.0,Kerrostalo,1,False
119,"Kerrostalo, 2018",878,"Saunalahdenkatu 2, Saunalahti, Espoo",45.5,2H+KT,60.1652306,24.6143043,2018.0,Kerrostalo,2,False
120,"Kerrostalo, 1994",827,"Kiltakallio 13 B, Kiltakallio, Espoo",49.5,2h+kt,60.1986347,24.6568988,1994.0,Kerrostalo,2,False
122,"Kerrostalo, 2003",898,"Rauhalanpuisto 4, Matinkylä, Espoo",42.0,2H+KT,60.16416340000001,24.745037183629204,2003.0,Kerrostalo,2,False
123,"Kerrostalo, 2018",768,"Marinkallio 6, Kivenlahti, Espoo",34.0,1H+KT,60.1583747,24.62116021839193,2018.0,Kerrostalo,1,False
124,"Kerrostalo, 2014",910,"Klariksentie 6, Suurpelto, Espoo",48.0,2H+KK,60.18272245,24.740938791924155,2014.0,Kerrostalo,2,False
125,"Kerrostalo, 2001",898,"Leirikaari 24, Leppävaara, Espoo",44.0,2H+KK,60.21067025,24.80765360347928,2001.0,Kerrostalo,2,False
127,"Kerrostalo, 1994",845,"Sinettikuja 3, Espoon keskus, Espoo",49.5,2H+KT,60.20229985,24.65782686586373,1994.0,Kerrostalo,2,False
128,"Kerrostalo, 2020",1199,"Kaarlo Sarkian katu 10 C, Vermonniitty, Espoo",60.0,3h+kt,60.2150821,24.8341062,2020.0,Kerrostalo,3,False
129,"Kerrostalo, 2022",699,"Linda Tannerin kuja 2 E, Henttaa, Espoo",26.5,1h+kt,60.1880873,24.7352009,2022.0,Kerrostalo,1,False
130,"Kerrostalo, 1986",849,"Saarnimäenkuja 4, Saarniraivio, Espoo",59.0,2H+K,60.19752505,24.66633943965521,1986.0,Kerrostalo,2,False
131,"Kerrostalo, 1974",849,"Joupinmäenrinne 6, Suvela, Espoo",59.5,2H+K,60.20343895,24.67494404576739,1974.0,Kerrostalo,2,False
132,Kerrostalo,760,"Peijinkuja 3 A 37, Finnoo, Espoo",31.0,1h + avok + p,60.1536125,24.705035,,Kerrostalo,1,False
133,"Kerrostalo, 2018",785,"Reelinkikatu 2, Saunalahti, Espoo",40.5,1H+KT,60.1682105,24.6193641,2018.0,Kerrostalo,1,False
134,"Kerrostalo, 2022",1360,"Niittykummuntie 12 C, Niittykumpu, Espoo",69.5,3h+kt,60.17051,24.759057,2022.0,Kerrostalo,3,False
135,"Kerrostalo, 2022",1370,"Niittykummuntie 12 C, Niittykumpu, Espoo",69.5,3h+kt,60.17051,24.759057,2022.0,Kerrostalo,3,False
136,"Kerrostalo, 2022",799,"Niittykummuntie 12 C, Niittykumpu, Espoo",33.5,1h+kt,60.17051,24.759057,2022.0,Kerrostalo,1,False
137,"Kerrostalo, 2022",810,"Niittykummuntie 12 C, Niittykumpu, Espoo",33.5,1h+kt,60.17051,24.759057,2022.0,Kerrostalo,1,False
138,"Kerrostalo, 2022",1320,"Niittykummuntie 12 D, Niittykumpu, Espoo",67.0,3h+kt,60.17051,24.759057,2022.0,Kerrostalo,3,False
139,"Kerrostalo, 2022",1325,"Niittykummuntie 12 D, Niittykumpu, Espoo",67.0,3h+kt,60.17051,24.759057,2022.0,Kerrostalo,3,False
140,"Kerrostalo, 2022",800,"Niittykummuntie 12 D, Niittykumpu, Espoo",33.5,1h+kt,60.17051,24.759057,2022.0,Kerrostalo,1,False
141,"Kerrostalo, 2022",1340,"Niittykummuntie 12 D, Niittykumpu, Espoo",67.0,3h+kt,60.17051,24.759057,2022.0,Kerrostalo,3,False
142,"Kerrostalo, 2018",777,"Reelinkikatu 2, Saunalahti, Espoo",38.5,1H+KT,60.1682105,24.6193641,2018.0,Kerrostalo,1,False
143,"Kerrostalo, 1973",840,"Kivenlahdenkatu 4, Kivenlahti, Espoo",62.0,2H+K,60.1549412,24.632042182403207,1973.0,Kerrostalo,2,False
145,"Kerrostalo, 1953",429,"Kuninkaantie 43, Järvenperä, Espoo",12.0,1h + k,60.2369849,24.70887339479541,1953.0,Kerrostalo,1,False
146,"Kerrostalo, 2018",858,"Reelinkikatu 2, Saunalahti, Espoo",43.0,2H+KT,60.1682105,24.6193641,2018.0,Kerrostalo,2,False
148,"Kerrostalo, 1994",865,"Sinettikuja 3, Espoon keskus, Espoo",56.0,2H+K,60.20229985,24.65782686586373,1994.0,Kerrostalo,2,False
149,"Kerrostalo, 2004",1761,"Puolikkotie 6, Matinkylä, Espoo",44.0,2h+ak+kph+s+p,60.1627617,24.738733,2004.0,Kerrostalo,2,True
150,"Kerrostalo, 2003",898,"Rauhalanpuisto 4, Matinkylä, Espoo",42.0,2H+KT,60.16416340000001,24.745037183629204,2003.0,Kerrostalo,2,False
151,"Kerrostalo, 2021",788,"Forstmestarinpiha 2, Kilo, Espoo",31.5,1H+KT,60.22115695,24.785921458720285,2021.0,Kerrostalo,1,False
152,"Kerrostalo, 2018",768,"Marinkallio 6, Kivenlahti, Espoo",34.0,1H+KT,60.1583747,24.62116021839193,2018.0,Kerrostalo,1,False
153,"Kerrostalo, 1973",835,"Kivenlahdenkatu 6, Kivenlahti, Espoo",62.0,2H+K,60.1545995,24.632103038591453,1973.0,Kerrostalo,2,False
154,Kerrostalo,1109,"Porarinkatu 3, Leppävaara, Espoo",21.0,1h+1minik+kph+wc,60.2253557,24.8203775,,Kerrostalo,1,False
155,"Kerrostalo, 2000",848,"Ullantorpantie 1, Ymmersta, Espoo",46.0,2H+KK+S,60.2055182,24.70401769167017,2000.0,Kerrostalo,2,False
156,"Kerrostalo, 1977",868,"Kirstintie 17, Suvela, Espoo",59.5,2H+K,60.2041686,24.67313714271404,1977.0,Kerrostalo,2,False
157,"Kerrostalo, 1986",849,"Saarnimäenkuja 4, Saarniraivio, Espoo",59.0,2H+K,60.19752505,24.66633943965521,1986.0,Kerrostalo,2,False
158,"Kerrostalo, 2014",870,"Klariksentie 6, Suurpelto, Espoo",42.5,2H+KK,60.18272245,24.740938791924155,2014.0,Kerrostalo,2,False
159,"Kerrostalo, 2014",878,"Klariksentie 6, Suurpelto, Espoo",43.0,2H+K,60.18272245,24.740938791924155,2014.0,Kerrostalo,2,False
160,"Kerrostalo, 2015",1373,"Porarinkatu 1, Leppävaara, Espoo",50.0,1h+ak+kph+s+wc+yhteistilat,60.2251893,24.8213541,2015.0,Kerrostalo,1,True
161,"Kerrostalo, 1974",849,"Joupinmäenrinne 6, Suvela, Espoo",59.5,2H+K,60.20343895,24.67494404576739,1974.0,Kerrostalo,2,False
162,"Kerrostalo, 2018",777,"Reelinkikatu 2, Saunalahti, Espoo",38.5,1H+KT,60.1682105,24.6193641,2018.0,Kerrostalo,1,False
163,"Kerrostalo, 2001",885,"Leirikaari 24, Leppävaara, Espoo",42.5,2H+KK,60.21067025,24.80765360347928,2001.0,Kerrostalo,2,False
164,"Kerrostalo, 2022",2000,"UUNO KAILAAN KATU 7 D, Leppävaara Vermonniitty, Espoo",53.0,Kalustettu koti / Furnished home: 3h + avok + p,60.2131039,24.8337703,2022.0,Kerrostalo,3,True
165,"Kerrostalo, 1955",950,"Otsonkallio 3, Tapiola, Espoo",25.0,1h + avok,60.18010255,24.81614655998393,1955.0,Kerrostalo,1,False
166,"Kerrostalo, 2022",810,"Niittykummuntie 12 C, Niittykumpu, Espoo",33.5,1h+kt,60.17051,24.759057,2022.0,Kerrostalo,1,False
167,"Kerrostalo, 2022",1299,"Niittykummuntie 12 C, Niittykumpu, Espoo",65.0,3h+kt,60.17051,24.759057,2022.0,Kerrostalo,3,False
168,"Kerrostalo, 2022",820,"Niittykummuntie 12 C, Niittykumpu, Espoo",33.5,1h+kt,60.17051,24.759057,2022.0,Kerrostalo,1,False
169,"Kerrostalo, 2014",878,"Klariksentie 6, Suurpelto, Espoo",43.0,2H+K,60.18272245,24.740938791924155,2014.0,Kerrostalo,2,False
170,"Kerrostalo, 2003",795,"Rauhalanpuisto 4, Matinkylä, Espoo",30.5,1H+KT,60.16416340000001,24.745037183629204,2003.0,Kerrostalo,1,False
171,"Kerrostalo, 2018",818,"Marinkallio 4, Kivenlahti, Espoo",39.0,1H+KT,60.15845435,24.61975890366556,2018.0,Kerrostalo,1,False
172,"Kerrostalo, 1997",948,"Norppatie 8, Iivisniemi, Espoo",46.5,2H+KT+S,60.14781495,24.70213465,1997.0,Kerrostalo,2,False
173,"Kerrostalo, 1966",1671,"Elosalamantie 2, Tapiola, Espoo",32.0,1h+ak+kph,60.1720501,24.8084403,1966.0,Kerrostalo,1,False
174,"Kerrostalo, 2021",955,"Marinportti 4 A, Kivenlahti, Espoo",44.0,2h+kt,60.1568905,24.6258447,2021.0,Kerrostalo,2,False
175,"Kerrostalo, 2021",645,"Peuraniitty 1 E, Sepänkylä, Espoo",24.5,1h+kt,60.204458,24.7380923,2021.0,Kerrostalo,1,False
177,"Kerrostalo, 2001",910,"Leirikaari 24, Leppävaara, Espoo",46.0,2H+K,60.21067025,24.80765360347928,2001.0,Kerrostalo,2,False
178,"Kerrostalo, 2018",828,"Marinkallio 4, Kivenlahti, Espoo",40.0,1H+KT,60.15845435,24.61975890366556,2018.0,Kerrostalo,1,False
