Unnamed: 0,house_type,price,address,square,object_type,price_per_square,year_of_construction,building_type,rooms,sauna,latitude,longitude
19,"Résidence de standing, 2005",251948,"92 Quai Perrache, Lyon",34.8,"3 pièces, terrasse",7240,2005.0,Résidence de standing,3,False,45.8630225,4.8095341
20,"Résidence de standing, 2004",609124,"25 Quai Saint-Antoine, Lyon",79.0,5 pièces,7710,2004.0,Résidence de standing,5,False,45.6933497,4.909665
21,"Penthouse, 1994",570648,"17 Rue Pasteur, Lyon",71.7,4 pièces,7959,1994.0,Penthouse,4,False,45.7435186,4.8885389
22,"Maison de ville, 1970",293518,"25 Quai Saint-Antoine, Lyon",19.6,4 pièces,14975,1970.0,Maison de ville,4,False,45.7757565,4.8898385
23,"Maison de ville, 2002",635934,"5 Rue Garibaldi, Lyon",85.3,"3 pièces, ascenseur",7455,2002.0,Maison de ville,3,False,45.8670166,4.9130794
24,"Studio, 1998",575508,"5 Rue Garibaldi, Lyon",109.5,2 pièces,5256,1998.0,Studio,2,False,45.7478239,4.8156038
25,"Penthouse, 1972",397675,"4 Place Bellecour, Lyon",49.9,Studio,7969,1972.0,Penthouse,1,False,45.8061784,4.9381838
26,"Loft, 1990",335245,"17 Rue Pasteur, Lyon",55.2,"5 pièces, duplex",6073,1990.0,Loft,5,False,45.8292127,4.9258817
27,"Résidence étudiante, 2009",624307,"2 Rue Victor Hugo, Lyon",32.6,"4 pièces, parking",19151,2009.0,Résidence étudiante,4,False,45.7174494,4.7647319
28,"Maison de ville, 1991",713272,"5 Rue Garibaldi, Lyon",78.4,"5 pièces, duplex",9098,1991.0,Maison de ville,5,False,45.7114454,4.8677891
29,"Maison de ville, 2000",615309,"25 Quai Saint-Antoine, Lyon",71.6,"3 pièces, terrasse",8594,2000.0,Maison de ville,3,False,45.7959274,4.7788595
30,"Immeuble, 1987",653486,"25 Quai Saint-Antoine, Lyon",45.0,"3 pièces, terrasse",14522,1987.0,Immeuble,3,False,45.7850094,4.839103
31,"Studio, 2017",247874,"13 Rue de Marseille, Lyon",81.0,"3 pièces, ascenseur",3060,2017.0,Studio,3,False,45.7087799,4.8938972
32,"Maison de ville, 2012",403822,"5 Rue Garibaldi, Lyon",59.0,1 pièce,6844,2012.0,Maison de ville,1,False,45.7038147,4.8140425
33,"Loft, 1985",291424,"17 Rue Pasteur, Lyon",109.3,4 pièces,2666,1985.0,Loft,4,False,45.7393213,4.8213016
34,"Penthouse, 1982",785072,"4 Place Bellecour, Lyon",79.3,1 pièce,9900,1982.0,Penthouse,1,False,45.7444138,4.7994233
35,"Résidence de standing, 2019",237158,"8 Avenue Jean Jaurès, Lyon",73.6,"4 pièces, jardin",3222,2019.0,Résidence de standing,4,False,45.6988358,4.7969543
36,"Studio, 2006",563003,"8 Avenue Jean Jaurès, Lyon",75.6,4 pièces,7447,2006.0,Studio,4,False,45.7624319,4.8950609
37,"Maison de ville, 1978",749100,"13 Rue de Marseille, Lyon",23.1,"5 pièces, duplex",32429,1978.0,Maison de ville,5,False,45.6912491,4.7771436
38,"Maison individuelle, 2020",574365,"92 Quai Perrache, Lyon",25.3,4 pièces,22702,2020.0,Maison individuelle,4,False,45.7613577,4.9157201
39,"Appartement, 2007",156509,"13 Rue de Marseille, Lyon",28.1,"2 pièces, balcon",5570,2007.0,Appartement,2,False,45.7434401,4.8018216
40,"Penthouse, 2023",560294,"25 Quai Saint-Antoine, Lyon",18.8,1 pièce,29803,2023.0,Penthouse,1,False,45.7867361,4.7697923
41,"Loft, 2017",677245,"10 Rue de la République, Lyon",108.5,"5 pièces, duplex",6242,2017.0,Loft,5,False,45.7545901,4.8699638
42,"Immeuble, 2006",701164,"4 Place Bellecour, Lyon",74.0,"4 pièces, jardin",9475,2006.0,Immeuble,4,False,45.7279608,4.7658383
43,"Loft, 2021",495645,"13 Rue de Marseille, Lyon",78.9,"2 pièces, balcon",6282,2021.0,Loft,2,False,45.8212868,4.9499365
44,"Studio, 2024",742131,"10 Rue de la République, Lyon",18.8,2 pièces,39475,2024.0,Studio,2,False,45.7258389,4.8809422
45,"Loft, 1993",379995,"10 Rue de la République, Lyon",50.8,5 pièces,7480,1993.0,Loft,5,False,45.781735,4.9110744
46,"Loft, 2010",690504,"4 Place Bellecour, Lyon",19.0,4 pièces,36342,2010.0,Loft,4,False,45.7021845,4.8602998
47,"Loft, 2017",661634,"92 Quai Perrache, Lyon",85.1,"5 pièces, duplex",7775,2017.0,Loft,5,False,45.7825809,4.9498605
48,"Loft, 2024",308173,"8 Avenue Jean Jaurès, Lyon",65.4,Studio,4712,2024.0,Loft,3,False,45.7705763,4.854215
49,"Loft, 2024",257920,"5 Rue Garibaldi, Lyon",39.6,1 pièce,6513,2024.0,Loft,1,False,45.7571159,4.8510388
50,"Appartement, 2024",113560,"17 Rue Pasteur, Lyon",32.9,4 pièces,3452,2024.0,Appartement,4,False,45.8022509,4.8210941
51,"Penthouse, 1973",345903,"2 Rue Victor Hugo, Lyon",39.7,5 pièces,8713,1973.0,Penthouse,5,False,45.7560719,4.7805357
52,"Résidence étudiante, 1996",593195,"2 Rue Victor Hugo, Lyon",70.4,"3 pièces, ascenseur",8426,1996.0,Résidence étudiante,3,False,45.7343926,4.8111621
53,"Maison de ville, 2004",741453,"17 Rue Pasteur, Lyon",45.0,4 pièces,16477,2004.0,Maison de ville,4,False,45.8356952,4.8535465
54,"Résidence étudiante, 1998",749635,"25 Quai Saint-Antoine, Lyon",118.1,1 pièce,6347,1998.0,Résidence étudiante,1,False,45.734354,4.9438731
55,"Maison jumelée, 2001",574608,"10 Rue de la République, Lyon",109.8,"5 pièces, duplex",5233,2001.0,Maison jumelée,5,False,45.7343175,4.8789628
56,"Maison jumelée, 1985",770000,"5 Rue Garibaldi, Lyon",61.5,4 pièces,12520,1985.0,Maison jumelée,4,False,45.7842819,4.9144721
57,"Maison jumelée, 2021",296176,"5 Rue Garibaldi, Lyon",80.7,"2 pièces, balcon",3670,2021.0,Maison jumelée,2,False,45.7813811,4.7771892
58,"Résidence de standing, 1979",512944,"8 Avenue Jean Jaurès, Lyon",54.2,"4 pièces, parking",9464,1979.0,Résidence de standing,4,False,45.7738858,4.8205721
59,"Immeuble, 1986",317579,"17 Rue Pasteur, Lyon",18.1,4 pièces,17546,1986.0,Immeuble,4,False,45.8181646,4.7789218
60,"Appartement, 2002",146705,"25 Quai Saint-Antoine, Lyon",20.9,"4 pièces, jardin",7019,2002.0,Appartement,4,False,45.735624,4.8831953
61,"Loft, 2019",436685,"8 Avenue Jean Jaurès, Lyon",117.3,"2 pièces, balcon",3723,2019.0,Loft,2,False,45.8324721,4.7730988
62,"Immeuble, 1989",333813,"2 Rue Victor Hugo, Lyon",31.3,"3 pièces, ascenseur",10665,1989.0,Immeuble,3,False,45.7577095,4.8652706
63,"Résidence étudiante, 2005",296690,"4 Place Bellecour, Lyon",57.0,4 pièces,5205,2005.0,Résidence étudiante,4,False,45.7586707,4.7882512
64,"Immeuble, 2007",478428,"4 Place Bellecour, Lyon",20.3,"4 pièces, jardin",23568,2007.0,Immeuble,4,False,45.8251319,4.791664
65,"Studio, 2002",439321,"17 Rue Pasteur, Lyon",85.4,5 pièces,5144,2002.0,Studio,5,False,45.6942178,4.9386959
66,"Penthouse, 1971",275715,"17 Rue Pasteur, Lyon",21.4,"4 pièces, parking",12884,1971.0,Penthouse,4,False,45.7094229,4.7822574
67,"Penthouse, 1999",511712,"10 Rue de la République, Lyon",61.8,Studio,8280,1999.0,Penthouse,3,False,45.7295475,4.9186202
68,"Résidence de standing, 1996",485280,"8 Avenue Jean Jaurès, Lyon",91.1,1 pièce,5327,1996.0,Résidence de standing,1,False,45.8107477,4.9439579
69,"Maison de ville, 2015",737675,"92 Quai Perrache, Lyon",61.0,"2 pièces, balcon",12093,2015.0,Maison de ville,2,False,45.7816632,4.8928777
70,"Maison de ville, 1972",628117,"8 Avenue Jean Jaurès, Lyon",72.6,"3 pièces, ascenseur",8652,1972.0,Maison de ville,3,False,45.6902163,4.7926658
71,"Maison individuelle, 2018",305677,"8 Avenue Jean Jaurès, Lyon",57.7,"2 pièces, balcon",5298,2018.0,Maison individuelle,2,False,45.850851,4.9428736
72,"Résidence de standing, 1983",230398,"92 Quai Perrache, Lyon",106.7,4 pièces,2159,1983.0,Résidence de standing,4,False,45.7801251,4.92948
73,"Loft, 2015",332172,"5 Rue Garibaldi, Lyon",23.7,Studio,14016,2015.0,Loft,2,False,45.7761504,4.9287947
74,"Maison de ville, 2009",519663,"92 Quai Perrache, Lyon",52.3,"4 pièces, parking",9936,2009.0,Maison de ville,4,False,45.7043787,4.8743672
75,"Maison jumelée, 2019",761826,"10 Rue de la République, Lyon",77.7,"5 pièces, duplex",9805,2019.0,Maison jumelée,5,False,45.7434317,4.9345472
76,"Maison individuelle, 2015",675681,"5 Rue Garibaldi, Lyon",65.5,"5 pièces, duplex",10316,2015.0,Maison individuelle,5,False,45.7914858,4.9207705
77,"Résidence de standing, 2014",467437,"5 Rue Garibaldi, Lyon",92.6,"4 pièces, parking",5048,2014.0,Résidence de standing,4,False,45.8481716,4.8691587
78,"Résidence de standing, 1989",259415,"17 Rue Pasteur, Lyon",99.7,5 pièces,2602,1989.0,Résidence de standing,5,False,45.7668124,4.7828632
79,"Immeuble, 2003",437929,"4 Place Bellecour, Lyon",92.7,"4 pièces, parking",4724,2003.0,Immeuble,4,False,45.8619789,4.9362401
80,"Appartement, 1971",135339,"2 Rue Victor Hugo, Lyon",97.6,Studio,1387,1971.0,Appartement,3,False,45.793704,4.9034229
81,"Penthouse, 1980",748119,"25 Quai Saint-Antoine, Lyon",51.4,4 pièces,14555,1980.0,Penthouse,4,False,45.7400075,4.8458928
82,"Résidence étudiante, 1976",671756,"25 Quai Saint-Antoine, Lyon",74.7,4 pièces,8993,1976.0,Résidence étudiante,4,False,45.7066495,4.8249685
83,"Maison individuelle, 1999",712549,"25 Quai Saint-Antoine, Lyon",88.2,1 pièce,8079,1999.0,Maison individuelle,1,False,45.7844365,4.8165586
84,"Maison de ville, 2023",606518,"4 Place Bellecour, Lyon",28.2,"4 pièces, jardin",21508,2023.0,Maison de ville,4,False,45.7494724,4.8694138
85,"Résidence de standing, 1988",372442,"13 Rue de Marseille, Lyon",73.4,"3 pièces, terrasse",5074,1988.0,Résidence de standing,3,False,45.7720602,4.8343415
86,"Résidence étudiante, 2021",679159,"4 Place Bellecour, Lyon",38.7,"3 pièces, ascenseur",17549,2021.0,Résidence étudiante,3,False,45.8465436,4.8532793
87,"Loft, 1987",617132,"5 Rue Garibaldi, Lyon",32.5,"4 pièces, parking",18989,1987.0,Loft,4,False,45.7141305,4.9373046
88,"Immeuble, 2000",253406,"92 Quai Perrache, Lyon",110.8,3 pièces,2287,2000.0,Immeuble,3,False,45.7917784,4.8657212
89,"Penthouse, 1980",372329,"25 Quai Saint-Antoine, Lyon",47.1,"2 pièces, balcon",7905,1980.0,Penthouse,2,False,45.8493123,4.8000322
90,"Appartement, 2022",110941,"10 Rue de la République, Lyon",76.3,1 pièce,1454,2022.0,Appartement,1,False,45.8485318,4.8922955
91,"Studio, 1970",375193,"13 Rue de Marseille, Lyon",21.8,Studio,17211,1970.0,Studio,2,False,45.823425,4.8820387
92,"Résidence étudiante, 1971",436422,"4 Place Bellecour, Lyon",43.0,Studio,10149,1971.0,Résidence étudiante,2,False,45.8171917,4.8755153
93,"Studio, 1972",402507,"5 Rue Garibaldi, Lyon",98.6,"5 pièces, duplex",4082,1972.0,Studio,5,False,45.80731,4.8301991
94,"Loft, 2009",384399,"25 Quai Saint-Antoine, Lyon",27.6,"4 pièces, parking",13928,2009.0,Loft,4,False,45.8475533,4.8849959
95,"Penthouse, 2013",623622,"17 Rue Pasteur, Lyon",86.7,"3 pièces, terrasse",7193,2013.0,Penthouse,3,False,45.7252925,4.8720034
96,"Maison de ville, 1970",334283,"27 Rue du Président Édouard Herriot, Lyon",57.1,"3 pièces, terrasse",5854,1970.0,Maison de ville,3,False,45.7004779,4.9475398
97,"Maison individuelle, 2011",451224,"13 Rue de Marseille, Lyon",83.8,"4 pièces, jardin",5385,2011.0,Maison individuelle,4,False,45.8536212,4.8419534
98,"Maison de ville, 2003",735222,"10 Rue de la République, Lyon",56.5,"3 pièces, ascenseur",13013,2003.0,Maison de ville,3,False,45.7818083,4.7970622
99,"Maison individuelle, 1977",668088,"4 Place Bellecour, Lyon",32.2,4 pièces,20748,1977.0,Maison individuelle,4,False,45.8498901,4.8915055
100,"Maison de ville, 1977",418829,"8 Avenue Jean Jaurès, Lyon",112.2,4 pièces,3733,1977.0,Maison de ville,4,False,45.7276187,4.8870158
101,"Studio, 1982",661404,"8 Avenue Jean Jaurès, Lyon",43.3,2 pièces,15275,1982.0,Studio,2,False,45.7077122,4.8605357
102,"Penthouse, 1971",593908,"2 Rue Victor Hugo, Lyon",57.1,1 pièce,10401,1971.0,Penthouse,1,False,45.7257338,4.7945198
103,"Résidence de standing, 2018",319035,"25 Quai Saint-Antoine, Lyon",49.9,2 pièces,6393,2018.0,Résidence de standing,2,False,45.705646,4.8505963
104,"Penthouse, 1979",666994,"17 Rue Pasteur, Lyon",98.2,Studio,6792,1979.0,Penthouse,3,False,45.708091,4.760336
105,"Loft, 1982",715994,"27 Rue du Président Édouard Herriot, Lyon",46.4,"3 pièces, ascenseur",15431,1982.0,Loft,3,False,45.8304459,4.9306363
106,"Résidence de standing, 1970",558729,"92 Quai Perrache, Lyon",33.7,1 pièce,16579,1970.0,Résidence de standing,1,False,45.8653554,4.7912934
107,"Résidence étudiante, 2016",491173,"4 Place Bellecour, Lyon",86.1,"4 pièces, parking",5705,2016.0,Résidence étudiante,4,False,45.7728341,4.9447517
108,"Maison de ville, 1993",760431,"13 Rue de Marseille, Lyon",58.0,"3 pièces, ascenseur",13111,1993.0,Maison de ville,3,False,45.7709585,4.896077
109,"Studio, 2019",502072,"92 Quai Perrache, Lyon",39.9,5 pièces,12583,2019.0,Studio,5,False,45.7097351,4.8264276
110,"Résidence de standing, 2009",397623,"4 Place Bellecour, Lyon",100.0,"3 pièces, ascenseur",3976,2009.0,Résidence de standing,3,False,45.8111992,4.8297098
111,"Loft, 1970",263679,"25 Quai Saint-Antoine, Lyon",84.9,3 pièces,3106,1970.0,Loft,3,False,45.7123531,4.7758866
112,"Immeuble, 2021",333717,"13 Rue de Marseille, Lyon",56.4,5 pièces,5917,2021.0,Immeuble,5,False,45.7359372,4.8357869
113,"Maison individuelle, 2019",407679,"4 Place Bellecour, Lyon",99.1,5 pièces,4114,2019.0,Maison individuelle,5,False,45.862303,4.8919901
114,"Loft, 1981",461994,"4 Place Bellecour, Lyon",26.1,"3 pièces, ascenseur",17701,1981.0,Loft,3,False,45.7459419,4.7686919
115,"Résidence étudiante, 1983",525641,"10 Rue de la République, Lyon",44.8,1 pièce,11733,1983.0,Résidence étudiante,1,False,45.7773515,4.7973497
116,"Maison de ville, 2014",734887,"10 Rue de la République, Lyon",60.4,1 pièce,12167,2014.0,Maison de ville,1,False,45.7320122,4.8316348
117,"Loft, 1978",737379,"4 Place Bellecour, Lyon",86.9,3 pièces,8485,1978.0,Loft,3,False,45.8105234,4.8319851
118,"Maison de ville, 2004",596744,"2 Rue Victor Hugo, Lyon",108.0,4 pièces,5525,2004.0,Maison de ville,4,False,45.7124312,4.8151682
119,"Maison individuelle, 2003",785264,"92 Quai Perrache, Lyon",112.8,"3 pièces, terrasse",6962,2003.0,Maison individuelle,3,False,45.737586,4.9096118
120,"Résidence de standing, 1981",636983,"4 Place Bellecour, Lyon",57.0,"5 pièces, duplex",11175,1981.0,Résidence de standing,5,False,45.8666898,4.7636784
121,"Studio, 1975",427998,"25 Quai Saint-Antoine, Lyon",67.2,1 pièce,6369,1975.0,Studio,1,False,45.8200971,4.8970476
122,"Résidence étudiante, 1997",218434,"27 Rue du Président Édouard Herriot, Lyon",89.5,Studio,2441,1997.0,Résidence étudiante,3,False,45.8459417,4.8547502
123,"Maison individuelle, 2006",797221,"92 Quai Perrache, Lyon",59.8,Studio,13331,2006.0,Maison individuelle,2,False,45.766106,4.7576181
124,"Appartement, 1998",119756,"25 Quai Saint-Antoine, Lyon",49.0,"3 pièces, terrasse",2444,1998.0,Appartement,3,False,45.7359762,4.8226291
125,"Penthouse, 1978",462487,"4 Place Bellecour, Lyon",120.0,"3 pièces, terrasse",3854,1978.0,Penthouse,3,False,45.8087551,4.7875966
126,"Loft, 2013",742052,"92 Quai Perrache, Lyon",35.4,Studio,20962,2013.0,Loft,2,False,45.8019332,4.8890943
127,"Maison individuelle, 2022",548547,"2 Rue Victor Hugo, Lyon",36.0,4 pièces,15237,2022.0,Maison individuelle,4,False,45.7005864,4.9361967
128,"Résidence de standing, 1974",305032,"2 Rue Victor Hugo, Lyon",29.4,"2 pièces, balcon",10375,1974.0,Résidence de standing,2,False,45.7214966,4.9171011
129,"Maison de ville, 1981",595135,"17 Rue Pasteur, Lyon",43.4,Studio,13713,1981.0,Maison de ville,3,False,45.7565745,4.9479208
130,"Maison individuelle, 1971",356228,"4 Place Bellecour, Lyon",96.9,5 pièces,3676,1971.0,Maison individuelle,5,False,45.8655866,4.8871234
131,"Penthouse, 1997",491961,"92 Quai Perrache, Lyon",107.6,4 pièces,4572,1997.0,Penthouse,4,False,45.8267872,4.8478869
132,"Penthouse, 1991",656624,"27 Rue du Président Édouard Herriot, Lyon",105.6,"4 pièces, parking",6218,1991.0,Penthouse,4,False,45.7688914,4.9113006
133,"Maison individuelle, 2000",478152,"27 Rue du Président Édouard Herriot, Lyon",78.3,5 pièces,6107,2000.0,Maison individuelle,5,False,45.8150228,4.760074
134,"Appartement, 2002",122719,"17 Rue Pasteur, Lyon",42.0,"5 pièces, duplex",2922,2002.0,Appartement,5,False,45.7408093,4.7674245
135,"Appartement, 2002",116291,"5 Rue Garibaldi, Lyon",55.0,"3 pièces, ascenseur",2114,2002.0,Appartement,3,False,45.7222611,4.862428
136,"Appartement, 1998",145625,"4 Place Bellecour, Lyon",72.2,2 pièces,2017,1998.0,Appartement,2,False,45.8666337,4.8456117
137,"Résidence de standing, 1987",298051,"2 Rue Victor Hugo, Lyon",26.3,"3 pièces, ascenseur",11333,1987.0,Résidence de standing,3,False,45.7159035,4.8342556
138,"Loft, 2010",260643,"10 Rue de la République, Lyon",54.6,1 pièce,4774,2010.0,Loft,1,False,45.7546781,4.8051825
139,"Maison individuelle, 1974",575931,"27 Rue du Président Édouard Herriot, Lyon",83.4,"3 pièces, ascenseur",6906,1974.0,Maison individuelle,3,False,45.7458113,4.8224921
140,"Studio, 2003",791772,"5 Rue Garibaldi, Lyon",62.1,"2 pièces, balcon",12750,2003.0,Studio,2,False,45.822066,4.9363033
141,"Studio, 1979",451230,"27 Rue du Président Édouard Herriot, Lyon",91.3,4 pièces,4942,1979.0,Studio,4,False,45.7181076,4.9362364
142,"Maison jumelée, 1974",422613,"5 Rue Garibaldi, Lyon",92.3,"4 pièces, jardin",4579,1974.0,Maison jumelée,4,False,45.8394236,4.9461064
143,"Maison individuelle, 1990",420843,"2 Rue Victor Hugo, Lyon",108.2,"3 pièces, ascenseur",3889,1990.0,Maison individuelle,3,False,45.7698602,4.7842669
144,"Studio, 2019",291133,"17 Rue Pasteur, Lyon",76.8,2 pièces,3791,2019.0,Studio,2,False,45.7272876,4.8055815
145,"Maison individuelle, 2008",569648,"27 Rue du Président Édouard Herriot, Lyon",109.4,"3 pièces, terrasse",5207,2008.0,Maison individuelle,3,False,45.6967351,4.8311971
146,"Penthouse, 2016",593398,"10 Rue de la République, Lyon",22.2,4 pièces,26730,2016.0,Penthouse,4,False,45.8509096,4.8849425
147,"Résidence étudiante, 1975",299155,"17 Rue Pasteur, Lyon",114.1,Studio,2622,1975.0,Résidence étudiante,1,False,45.7136955,4.8183162
148,"Maison jumelée, 2005",407491,"10 Rue de la République, Lyon",103.5,"3 pièces, terrasse",3937,2005.0,Maison jumelée,3,False,45.7935873,4.7775463
149,"Studio, 1975",366255,"2 Rue Victor Hugo, Lyon",24.3,5 pièces,15072,1975.0,Studio,5,False,45.7249224,4.8478306
150,"Penthouse, 1984",690782,"4 Place Bellecour, Lyon",102.3,Studio,6753,1984.0,Penthouse,1,False,45.7898696,4.8593732
151,"Résidence étudiante, 2002",622833,"10 Rue de la République, Lyon",91.7,"2 pièces, balcon",6792,2002.0,Résidence étudiante,2,False,45.8433492,4.8934464
152,"Appartement, 2002",130122,"25 Quai Saint-Antoine, Lyon",78.1,"2 pièces, balcon",1666,2002.0,Appartement,2,False,45.7542539,4.7553648
153,"Penthouse, 1995",287118,"10 Rue de la République, Lyon",70.2,"3 pièces, ascenseur",4090,1995.0,Penthouse,3,False,45.7436732,4.9052832
154,"Appartement, 2020",100005,"4 Place Bellecour, Lyon",105.1,"3 pièces, ascenseur",952,2020.0,Appartement,3,False,45.6927645,4.8780863
155,"Maison jumelée, 1982",468883,"4 Place Bellecour, Lyon",112.2,1 pièce,4179,1982.0,Maison jumelée,1,False,45.751542,4.8205222
156,"Maison de ville, 1984",426580,"8 Avenue Jean Jaurès, Lyon",62.4,3 pièces,6836,1984.0,Maison de ville,3,False,45.7003678,4.8858219
157,"Résidence de standing, 1985",210512,"10 Rue de la République, Lyon",84.5,4 pièces,2491,1985.0,Résidence de standing,4,False,45.8376695,4.8264407
158,"Résidence de standing, 1970",506581,"13 Rue de Marseille, Lyon",102.0,"5 pièces, duplex",4966,1970.0,Résidence de standing,5,False,45.7295215,4.8358004
159,"Maison individuelle, 1990",397759,"27 Rue du Président Édouard Herriot, Lyon",45.4,"5 pièces, duplex",8761,1990.0,Maison individuelle,5,False,45.8641463,4.8110521
160,"Studio, 1987",534593,"10 Rue de la République, Lyon",36.3,"4 pièces, parking",14727,1987.0,Studio,4,False,45.7116574,4.8085789
161,"Résidence de standing, 2005",406331,"92 Quai Perrache, Lyon",72.8,"5 pièces, duplex",5581,2005.0,Résidence de standing,5,False,45.8661927,4.8775068
162,"Appartement, 2022",119391,"17 Rue Pasteur, Lyon",83.1,"4 pièces, parking",1437,2022.0,Appartement,4,False,45.7119189,4.760953
163,"Appartement, 2018",109108,"13 Rue de Marseille, Lyon",65.5,5 pièces,1666,2018.0,Appartement,5,False,45.7325507,4.9473567
164,"Studio, 2016",211364,"92 Quai Perrache, Lyon",44.7,Studio,4729,2016.0,Studio,3,False,45.7441249,4.9099308
165,"Maison jumelée, 2000",689401,"4 Place Bellecour, Lyon",118.1,"3 pièces, ascenseur",5837,2000.0,Maison jumelée,3,False,45.8595473,4.7728066
166,"Immeuble, 2011",448960,"25 Quai Saint-Antoine, Lyon",49.8,4 pièces,9015,2011.0,Immeuble,4,False,45.8293284,4.7699932
167,"Maison de ville, 2005",415638,"17 Rue Pasteur, Lyon",48.4,"5 pièces, duplex",8588,2005.0,Maison de ville,5,False,45.8301841,4.8702815
168,"Appartement, 1982",123370,"92 Quai Perrache, Lyon",58.5,Studio,2109,1982.0,Appartement,2,False,45.7103075,4.8851888
169,"Appartement, 2012",146165,"2 Rue Victor Hugo, Lyon",42.8,1 pièce,3415,2012.0,Appartement,1,False,45.7316632,4.843596
170,"Appartement, 1985",159396,"5 Rue Garibaldi, Lyon",119.4,3 pièces,1335,1985.0,Appartement,3,False,45.7229676,4.9023905
171,"Maison individuelle, 2017",542644,"17 Rue Pasteur, Lyon",67.6,"2 pièces, balcon",8027,2017.0,Maison individuelle,2,False,45.809964,4.9149942
172,"Maison individuelle, 2016",312906,"8 Avenue Jean Jaurès, Lyon",70.0,"3 pièces, terrasse",4470,2016.0,Maison individuelle,3,False,45.8550798,4.8755423
173,"Appartement, 2012",99225,"2 Rue Victor Hugo, Lyon",28.9,Studio,3433,2012.0,Appartement,1,False,45.8010841,4.8993307
174,"Maison de ville, 2020",519784,"8 Avenue Jean Jaurès, Lyon",31.2,"2 pièces, balcon",16660,2020.0,Maison de ville,2,False,45.8170973,4.8612482
175,"Immeuble, 2007",784069,"2 Rue Victor Hugo, Lyon",52.0,5 pièces,15078,2007.0,Immeuble,5,False,45.7817381,4.8057409
176,"Studio, 1980",666957,"8 Avenue Jean Jaurès, Lyon",20.5,3 pièces,32534,1980.0,Studio,3,False,45.7304482,4.7797103
177,"Loft, 2014",470500,"92 Quai Perrache, Lyon",65.6,"3 pièces, ascenseur",7172,2014.0,Loft,3,False,45.7395878,4.8980525
178,"Loft, 1975",370139,"92 Quai Perrache, Lyon",89.1,Studio,4154,1975.0,Loft,3,False,45.7280642,4.8710022
179,"Résidence de standing, 2014",733074,"4 Place Bellecour, Lyon",110.4,5 pièces,6640,2014.0,Résidence de standing,5,False,45.8528926,4.9042934
